window,subset,pvalue,sig_raw,overlap_prev
2022-Q1,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['LEAD']; loss_census_division=['East North Central', 'East South Central', 'Middle Atlantic', 'Mountain', 'West North Central', 'West South Central']; peril_type=['Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET']; risk_code=['P2']; syndicate=[2987.0]",0.057,False,
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],0.007,True,0.15789473684210525
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",0.004,True,0.2857142857142857
2022-Q4,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'New England', 'South Atlantic', 'West North Central', 'West South Central']; new_renewal=['New']; peril_type=['Non-catastrophe - Accident (NC-A)', 'Non-catastrophe - Fire (NC-F)', 'Other Perils - Inland Flood (IF)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET - DIRECT']; risk_code=['P2']; syndicate=[1618.0]",0.299,False,0.4444444444444444
2023-Q1,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East North Central', 'East South Central', 'Middle Atlantic', 'New England', 'West North Central', 'West South Central']; new_renewal=['New']; peril_type=['Non-catastrophe - Accident (NC-A)', 'Non-catastrophe - Fire (NC-F)', 'Severe Storm - Severe Thunderstorm (ST)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P2']",0.139,False,0.5652173913043478
2023-Q2,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'New England', 'South Atlantic', 'West North Central', 'West South Central']; new_renewal=['New']; peril_type=['Non-catastrophe - Fire (NC-F)', 'Other Perils - Inland Flood (IF)', 'Severe Storm - Hail (HL)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Storm Surge (SU)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P2']; syndicate=[1618.0]",0.001,True,0.56
2023-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East North Central', 'East South Central', 'New England', 'Pacific', 'South Atlantic', 'West North Central', 'West South Central']; new_renewal=['New']; peril_type=['Non-catastrophe - Other (NC-O)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Storm Surge (SU)']; placing_basis_group=['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P2', 'P6']; syndicate=[1618.0]",0.001,True,0.56
2023-Q4,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East North Central', 'East South Central', 'Mountain', 'New England', 'Pacific', 'South Atlantic', 'West North Central', 'West South Central']; new_renewal=['New']; peril_type=['Non-catastrophe - Fire (NC-F)', 'Non-catastrophe - Other (NC-O)', 'Non-catastrophe - Weather (NC-W)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)']; placing_basis_group=['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P2']; syndicate=[1618.0]",0.01,True,0.782608695652174
2024-Q1,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East North Central', 'East South Central', 'Middle Atlantic', 'Mountain', 'New England', 'West North Central', 'West South Central']; peril_type=['Non-catastrophe - Fire (NC-F)', 'Non-catastrophe - Mechanical Failure (NC-M)', 'Non-catastrophe - Weather (NC-W)', 'Other Perils - Coastal Flood (CF)', 'Other Perils - Inland Flood (IF)', 'Severe Storm - Hail (HL)', 'Severe Storm - Severe Thunderstorm (ST)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)']; placing_basis_group=['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P2', 'P6']; syndicate=[1618.0]",0.01,True,0.5714285714285714
2024-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['West North Central']; new_renewal=['Renewal']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET']; risk_code=['P2']; syndicate=[2987.0],0.832,False,0.19230769230769232
